,names,ratings,prices
0,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
1,"realme C21Y (Cross Blue, 32 GB)",4.5,"₹9,499"
2,"realme C21Y (Cross Black, 32 GB)",4.5,"₹9,499"
3,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
4,"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,"₹11,499"
5,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,"₹12,499"
6,"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,"₹11,499"
7,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹12,499"
8,"REDMI 9i (Sea Blue, 64 GB)",4.3,"₹8,999"
9,"REDMI 9i (Nature Green, 64 GB)",4.3,"₹8,999"
10,"REDMI 9i Sport (Coral Green, 64 GB)",4.3,"₹8,999"
11,"REDMI 9i (Midnight Black, 64 GB)",4.3,"₹8,999"
12,"realme C11 2021 (Cool Blue, 32 GB)",4.4,"₹7,499"
13,"realme C11 2021 (Cool Grey, 32 GB)",4.4,"₹7,499"
14,"APPLE iPhone 12 Mini (Black, 64 GB)",4.5,"₹49,999"
15,"realme C25_Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
16,"realme C25_Y (Metal Grey, 64 GB)",4.5,"₹10,999"
17,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
18,"realme C11 2021 (Cool Grey, 64 GB)",4.3,"₹8,999"
19,"realme C11 2021 (Cool Blue, 64 GB)",4.3,"₹8,999"
20,"realme 8s 5G (Universe Purple, 128 GB)",4.4,"₹19,999"
21,"realme C25Y (Metal Grey, 128 GB)",4.5,"₹11,999"
22,"realme C25Y (Glacier Blue, 128 GB)",4.5,"₹11,999"
23,"APPLE iPhone 12 (Black, 64 GB)",4.7,"₹59,999"
